Lat,Long,Species,Present,Total
51.28,-1.966,Red-tailed Bumblebee,1,363
51.08,-4.06,Honeybee,1,362
54.11,-4.588,Honeybee,1,362
52.25,0.7335,Red-tailed Bumblebee,1,360
54.9,-1.481,Common Carder,1,359
52.06,-2.684,Common Carder,1,355
50.85,-1.068,Honeybee,1,354
51.52,-0.09742,Honeybee,1,354
55.97,-4.33,Common Carder,1,354
56.06,-2.776,Red-tailed Bumblebee,1,352
51.38,0.6095,White/Buff-tailed Bumblebee workers,1,350
53.95,-2.381,White/Buff-tailed Bumblebee workers,1,350
54.01,-0.4023,Red-tailed Bumblebee,1,350
55.95,-3.275,Buff-tailed Bumblebee,1,350
56.47,-2.85,a white-tailed bumblebee,1,349
53.83,-0.5884,Red-tailed Bumblebee,1,343
54.29,-4.34,a white-tailed bumblebee,1,343
56.19,-3.968,White/Buff-tailed Bumblebee workers,1,343
54.98,-1.812,Red-tailed Bumblebee,1,342
56.4,-3.429,White/Buff-tailed Bumblebee workers,1,342
51.07,1.113,Honeybee,1,340
57.03,-2.152,Indet. Bee,1,340
52.28,-1.176,Red-tailed Bumblebee,1,339
54.98,-1.812,White/Buff-tailed Bumblebee workers,1,336
51.61,-2.218,Red-tailed Bumblebee,1,335
53.1,-1.53,Common Carder,1,335
51.2,-2.777,White/Buff-tailed Bumblebee workers,1,333
55.95,-3.275,Honeybee,1,333
51.5,-3.232,Common Carder,1,331
50.69,-3.672,Honeybee,1,330
51.42,-0.5936,a white-tailed bumblebee,1,330
55.72,-1.947,Common Carder,1,329
53.99,-2.394,White/Buff-tailed Bumblebee workers,1,328
50.85,-1.068,Red-tailed Bumblebee,1,327
51.44,-2.76,Honeybee,1,327
52.06,-2.684,Red-tailed Bumblebee,1,327
55.96,-2.673,Indet. Bee,1,327
51.08,-2.548,Honeybee,1,326
51.48,-2.598,Honeybee,1,326
55.79,-4.319,Buff-tailed Bumblebee,1,326
54.21,-3.259,Red-tailed Bumblebee,1,325
55.84,-4.367,Indet. Bee,1,324
54.24,-1.067,a white-tailed bumblebee,1,321
51.36,0.5785,Honeybee,1,320
50.74,-1.534,Buff-tailed Bumblebee,1,318
50.93,0.9319,Buff-tailed Bumblebee,1,316
51.67,0.5739,White/Buff-tailed Bumblebee workers,1,316
52.83,0.4744,Honeybee,1,315
51.08,1.17,Honeybee,1,313
51.57,-0.1601,White/Buff-tailed Bumblebee workers,1,313
51.28,-1.966,Buff-tailed Bumblebee,1,312
55.72,-1.947,Red-tailed Bumblebee,1,310
56.64,-3.807,Honeybee,1,310
54.14,-2.735,Red-tailed Bumblebee,1,309
51.25,0.3202,Honeybee,1,308
53.86,-0.6317,Common Carder,1,308
56.06,-2.776,a white-tailed bumblebee,1,308
52.59,-1.702,Red-tailed Bumblebee,1,307
51.57,-0.05631,Common Carder,1,306
56.47,-2.85,Buff-tailed Bumblebee,1,306
52.24,-0.06821,Buff-tailed Bumblebee,1,305
54.14,-2.735,White/Buff-tailed Bumblebee workers,1,305
