Lat,Long,Species,Present,Total
51.2,-2.832,Buff-tailed Bumblebee,1,12
51.28,-1.966,Garden Bumblebee,1,12
51.3,1.025,Common Carder,1,12
51.3,1.081,Buff-tailed Bumblebee,1,12
51.32,-0.5621,Early Bumblebee,1,12
51.32,0.8616,Indet. Bee,1,12
51.32,1.359,Buff-tailed Bumblebee,1,12
51.35,0.9853,Buff-tailed Bumblebee,1,12
51.36,-2.944,Common Carder,1,12
51.36,-2.944,Red-tailed Bumblebee,1,12
51.38,-2.826,a white-tailed bumblebee,1,12
51.38,-2.826,Early Bumblebee,1,12
51.4,-2.644,Red-tailed Bumblebee,1,12
51.4,-2.273,a white-tailed bumblebee,1,12
51.42,-1.146,Indet. Bee,1,12
51.44,-0.9396,Tree Bumblebee,1,12
51.44,0.3164,Buff-tailed Bumblebee,1,12
51.46,0.2958,White/Buff-tailed Bumblebee workers,1,12
51.48,-2.573,White/Buff-tailed Bumblebee workers,1,12
51.48,-0.7213,Common Carder,1,12
51.5,-3.203,Common Carder,1,12
51.53,-1.503,Garden Bumblebee,1,12
51.54,-3.621,White/Buff-tailed Bumblebee workers,1,12
51.54,-3.592,Buff-tailed Bumblebee,1,12
51.54,-0.7353,Common Carder,1,12
51.57,-2.846,Buff-tailed Bumblebee,1,12
51.57,-0.05343,Tree Bumblebee,1,12
51.6,-3.064,a white-tailed bumblebee,1,12
51.67,-1.257,Early Bumblebee,1,12
51.71,-0.5034,Red-tailed Bumblebee,1,12
51.73,-0.6302,a white-tailed bumblebee,1,12
51.77,-1.225,White/Buff-tailed Bumblebee workers,1,12
51.84,1.239,Common Carder,1,12
51.88,-2.046,Early Bumblebee,1,12
51.89,-4.007,Common Carder,1,12
51.93,-2.954,Indet. Bee,1,12
52.19,-3.996,Early Bumblebee,1,12
52.22,-2.244,a white-tailed bumblebee,1,12
52.22,-2.244,Common Carder,1,12
52.28,-1.666,Tree Bumblebee,1,12
52.35,-3.053,Buff-tailed Bumblebee,1,12
52.38,-3.863,Honeybee,1,12
52.46,1.633,Honeybee,1,12
52.52,0.2731,Common Carder,1,12
52.7,-2.047,Common Carder,1,12
52.76,-0.7596,Red-tailed Bumblebee,1,12
52.83,0.4789,Early Bumblebee,1,12
52.83,1.215,Tree Bumblebee,1,12
52.9,-3.124,Tree Bumblebee,1,12
52.92,-2.779,Indet. Bee,1,12
52.93,-2.399,Red-tailed Bumblebee,1,12
52.95,-1.269,Red-tailed Bumblebee,1,12
52.95,-1.265,Red-tailed Bumblebee,1,12
53.08,-1.579,Early Bumblebee,1,12
53.11,-3.462,Early Bumblebee,1,12
53.11,-1.55,Buff-tailed Bumblebee,1,12
53.12,-1.353,Garden Bumblebee,1,12
53.37,-2.543,Red-tailed Bumblebee,1,12
53.43,-2.272,Buff-tailed Bumblebee,1,12
53.59,-3.071,Early Bumblebee,1,12
53.66,-2.601,Tree Bumblebee,1,12
53.91,-1.762,Garden Bumblebee,1,12
53.97,-2.437,Tree Bumblebee,1,12
53.97,-2.419,a white-tailed bumblebee,1,12
53.98,-1.404,Common Carder,1,12
53.99,-2.404,Indet. Bee,1,12
54.01,-0.4069,Garden Bumblebee,1,12
54.06,-1.979,Honeybee,1,12
54.07,-2.73,White/Buff-tailed Bumblebee workers,1,12
54.16,-2.314,Garden Bumblebee,1,12
54.33,-1.446,Common Carder,1,12
54.38,-2.14,a white-tailed bumblebee,1,12
55.02,-1.435,Tree Bumblebee,1,12
55.66,-3.774,Indet. Bee,1,12
55.66,-3.479,Common Carder,1,12
55.79,-4.228,Early Bumblebee,1,12
55.79,-4.228,White/Buff-tailed Bumblebee workers,1,12
55.81,-4.59,Indet. Bee,1,12
55.83,-4.278,Garden Bumblebee,1,12
55.84,-4.496,Indet. Bee,1,12
55.86,-3.174,Tree Bumblebee,1,12
55.93,-4.487,a white-tailed bumblebee,1,12
55.94,-3.471,Early Bumblebee,1,12
55.94,-3.188,Buff-tailed Bumblebee,1,12
55.94,-3.188,Honeybee,1,12
55.96,-3.323,Common Carder,1,12
55.96,-3.323,White/Buff-tailed Bumblebee workers,1,12
56.04,-3.35,Buff-tailed Bumblebee,1,12
56.12,-3.14,Honeybee,1,12
56.16,-3.921,Tree Bumblebee,1,12
56.4,-5.233,Common Carder,1,12
56.4,-3.5,Honeybee,1,12
56.47,-2.85,Garden Bumblebee,1,12
57.17,-2.094,a white-tailed bumblebee,1,12
57.62,-3.105,Garden Bumblebee,1,12
57.67,-3.318,Honeybee,1,12
58.61,-3.338,Common Carder,1,12
50.56,-3.683,Buff-tailed Bumblebee,1,11
50.6,-1.958,Common Carder,1,11
50.61,-3.379,Honeybee,1,11
50.8,-1.549,Buff-tailed Bumblebee,1,11
50.85,-0.9757,Buff-tailed Bumblebee,1,11
50.87,-3.926,Indet. Bee,1,11
50.87,-0.6043,Early Bumblebee,1,11
50.87,-0.1055,Red-tailed Bumblebee,1,11
50.87,-0.1055,Tree Bumblebee,1,11
50.88,0.6599,Indet. Bee,1,11
50.93,-0.2838,Common Carder,1,11
50.94,-4.139,Red-tailed Bumblebee,1,11
50.94,0.757,Garden Bumblebee,1,11
50.96,0.814,a white-tailed bumblebee,1,11
50.97,0.09651,a white-tailed bumblebee,1,11
50.99,0.9623,Buff-tailed Bumblebee,1,11
51.03,-2.669,Buff-tailed Bumblebee,1,11
51.03,1.012,Common Carder,1,11
51.05,-1.311,Buff-tailed Bumblebee,1,11
51.06,-2.698,Buff-tailed Bumblebee,1,11
51.06,0.5743,Common Carder,1,11
51.07,1.113,a white-tailed bumblebee,1,11
51.09,1.206,Indet. Bee,1,11
51.11,-2.666,Red-tailed Bumblebee,1,11
51.13,-3.352,Early Bumblebee,1,11
51.14,-4.254,White/Buff-tailed Bumblebee workers,1,11
51.14,-3.131,Garden Bumblebee,1,11
51.15,-2.741,Honeybee,1,11
51.16,0.3141,Common Carder,1,11
51.17,0.3261,Early Bumblebee,1,11
51.2,-2.69,Early Bumblebee,1,11
51.2,-2.69,Red-tailed Bumblebee,1,11
51.21,-1.741,White/Buff-tailed Bumblebee workers,1,11
51.25,0.3202,Early Bumblebee,1,11
51.28,-1.054,Indet. Bee,1,11
51.29,-2.64,Garden Bumblebee,1,11
51.3,1.025,Buff-tailed Bumblebee,1,11
51.3,1.081,Common Carder,1,11
51.31,-0.5252,Common Carder,1,11
51.35,0.9853,Indet. Bee,1,11
51.36,0.5224,Tree Bumblebee,1,11
51.38,0.1153,Tree Bumblebee,1,11
51.39,0.4333,Common Carder,1,11
51.4,-3.18,Buff-tailed Bumblebee,1,11
51.42,-2.756,White/Buff-tailed Bumblebee workers,1,11
51.42,-0.5936,Indet. Bee,1,11
51.46,0.5006,Honeybee,1,11
51.48,-3.191,Garden Bumblebee,1,11
51.48,0.01162,Tree Bumblebee,1,11
51.54,-3.621,Indet. Bee,1,11
51.55,-0.5433,Honeybee,1,11
51.57,-0.05343,Indet. Bee,1,11
51.57,-0.05343,Red-tailed Bumblebee,1,11
51.61,-4.922,Common Carder,1,11
51.61,-1.233,Garden Bumblebee,1,11
51.63,-4.998,a white-tailed bumblebee,1,11
51.63,-2.653,Early Bumblebee,1,11
51.64,0.0722,Buff-tailed Bumblebee,1,11
51.74,-1.321,Buff-tailed Bumblebee,1,11
51.79,-4.934,a white-tailed bumblebee,1,11
51.79,-4.934,Common Carder,1,11
51.86,-2.08,Buff-tailed Bumblebee,1,11
51.86,0.5139,a white-tailed bumblebee,1,11
51.88,-4.014,a white-tailed bumblebee,1,11
51.91,-2.868,Honeybee,1,11
52.07,-4.755,Tree Bumblebee,1,11
52.22,-2.244,Buff-tailed Bumblebee,1,11
52.27,-1.569,Honeybee,1,11
52.58,-1.709,Buff-tailed Bumblebee,1,11
52.87,-3.101,Common Carder,1,11
53.05,-1.805,a white-tailed bumblebee,1,11
53.05,-1.805,Garden Bumblebee,1,11
53.1,-1.576,Buff-tailed Bumblebee,1,11
53.11,-3.462,Garden Bumblebee,1,11
53.11,-1.565,Red-tailed Bumblebee,1,11
53.12,-1.353,Early Bumblebee,1,11
53.2,-2.912,Common Carder,1,11
53.22,-1.675,Tree Bumblebee,1,11
53.25,-2.081,Tree Bumblebee,1,11
53.34,-3.135,Buff-tailed Bumblebee,1,11
53.37,-1.584,a white-tailed bumblebee,1,11
53.56,-2.614,Indet. Bee,1,11
53.63,-1.76,Red-tailed Bumblebee,1,11
53.74,-2.23,Indet. Bee,1,11
53.78,-2.05,Buff-tailed Bumblebee,1,11
53.84,-1.731,Early Bumblebee,1,11
53.95,-2.425,a white-tailed bumblebee,1,11
53.97,-2.419,Buff-tailed Bumblebee,1,11
53.99,-2.413,Red-tailed Bumblebee,1,11
54.07,-2.73,Indet. Bee,1,11
54.15,-2.781,White/Buff-tailed Bumblebee workers,1,11
54.2,-2.141,Early Bumblebee,1,11
54.29,-2.84,a white-tailed bumblebee,1,11
54.29,-2.84,Buff-tailed Bumblebee,1,11
54.33,-1.446,Buff-tailed Bumblebee,1,11
54.54,-3.575,Buff-tailed Bumblebee,1,11
54.76,-2.022,Buff-tailed Bumblebee,1,11
54.86,-1.72,White/Buff-tailed Bumblebee workers,1,11
55,-1.595,Red-tailed Bumblebee,1,11
55.31,-1.887,Tree Bumblebee,1,11
55.49,-4.463,Buff-tailed Bumblebee,1,11
55.8,-4.608,Buff-tailed Bumblebee,1,11
55.8,-4.597,Garden Bumblebee,1,11
55.83,-4.697,Indet. Bee,1,11
55.87,-4.068,Red-tailed Bumblebee,1,11
55.88,-3.071,Tree Bumblebee,1,11
55.89,-3.66,a white-tailed bumblebee,1,11
55.91,-2.885,Buff-tailed Bumblebee,1,11
55.92,-3.197,Buff-tailed Bumblebee,1,11
55.97,-2.849,Buff-tailed Bumblebee,1,11
56.01,-3.737,Buff-tailed Bumblebee,1,11
56.21,-3.407,Honeybee,1,11
56.22,-3.411,Buff-tailed Bumblebee,1,11
56.4,-5.233,Indet. Bee,1,11
56.47,-2.99,Buff-tailed Bumblebee,1,11
57.65,-3.309,Buff-tailed Bumblebee,1,11
58.52,-3.667,White/Buff-tailed Bumblebee workers,1,11
50.46,-3.565,White/Buff-tailed Bumblebee workers,1,10
50.52,-3.633,Buff-tailed Bumblebee,1,10
50.6,-1.958,Buff-tailed Bumblebee,1,10
50.62,-2.464,Buff-tailed Bumblebee,1,10
50.64,-3.409,Buff-tailed Bumblebee,1,10
50.67,-3.336,Indet. Bee,1,10
50.71,-1.402,Red-tailed Bumblebee,1,10
50.8,-0.8646,Red-tailed Bumblebee,1,10
50.83,-2.053,Buff-tailed Bumblebee,1,10
50.83,-0.09705,Red-tailed Bumblebee,1,10
50.84,-1.036,Red-tailed Bumblebee,1,10
50.85,-1.068,Garden Bumblebee,1,10
50.85,-0.9757,Red-tailed Bumblebee,1,10
50.85,-0.9119,Indet. Bee,1,10
50.85,-0.2812,Buff-tailed Bumblebee,1,10
50.88,0.6599,Tree Bumblebee,1,10
50.89,0.6857,a white-tailed bumblebee,1,10
50.91,-2.691,Common Carder,1,10
50.91,-2.691,Garden Bumblebee,1,10
50.93,0.7451,a white-tailed bumblebee,1,10
50.93,0.7451,Buff-tailed Bumblebee,1,10
50.93,0.92,Common Carder,1,10
50.93,0.9299,Early Bumblebee,1,10
50.96,0.7983,Common Carder,1,10
50.98,-0.7392,Red-tailed Bumblebee,1,10
50.99,0.8126,Buff-tailed Bumblebee,1,10
51,-0.1229,Tree Bumblebee,1,10
51,0.5909,Common Carder,1,10
51,0.5909,Garden Bumblebee,1,10
51,0.5922,a white-tailed bumblebee,1,10
51,0.5922,Buff-tailed Bumblebee,1,10
51,0.9587,Early Bumblebee,1,10
51.03,0.9506,Indet. Bee,1,10
51.04,-0.7347,a white-tailed bumblebee,1,10
51.07,0.795,Buff-tailed Bumblebee,1,10
51.09,-2.711,Buff-tailed Bumblebee,1,10
51.11,0.2128,Common Carder,1,10
51.12,-1.167,Buff-tailed Bumblebee,1,10
51.13,-3.352,Tree Bumblebee,1,10
51.15,-2.785,Early Bumblebee,1,10
51.16,-2.853,a white-tailed bumblebee,1,10
51.16,-2.853,Tree Bumblebee,1,10
51.17,-2.85,Garden Bumblebee,1,10
51.19,-2.78,White/Buff-tailed Bumblebee workers,1,10
51.19,-2.122,Indet. Bee,1,10
51.19,-2.086,Indet. Bee,1,10
51.21,-2.831,Tree Bumblebee,1,10
51.22,0.3314,a white-tailed bumblebee,1,10
51.3,1.025,Garden Bumblebee,1,10
51.37,0.5543,Honeybee,1,10
51.38,-2.826,Buff-tailed Bumblebee,1,10
51.43,0.2528,White/Buff-tailed Bumblebee workers,1,10
51.48,-3.627,Indet. Bee,1,10
51.48,-2.598,Red-tailed Bumblebee,1,10
51.49,0.2297,a white-tailed bumblebee,1,10
51.5,-3.203,Tree Bumblebee,1,10
51.5,-0.9181,Tree Bumblebee,1,10
51.5,-0.3765,a white-tailed bumblebee,1,10
51.51,-0.402,a white-tailed bumblebee,1,10
51.54,0.492,Common Carder,1,10
51.56,-3.336,Indet. Bee,1,10
51.57,-0.1154,Common Carder,1,10
51.57,-0.05631,Early Bumblebee,1,10
51.58,-0.05151,Early Bumblebee,1,10
51.59,-1.97,Red-tailed Bumblebee,1,10
51.67,-2.147,Red-tailed Bumblebee,1,10
51.74,-4.671,a white-tailed bumblebee,1,10
51.74,-1.132,a white-tailed bumblebee,1,10
51.78,-0.1763,Buff-tailed Bumblebee,1,10
51.79,-4.934,Indet. Bee,1,10
51.83,-0.7942,Honeybee,1,10
51.88,-4.014,Early Bumblebee,1,10
51.88,-4.014,Indet. Bee,1,10
51.88,-2.046,Buff-tailed Bumblebee,1,10
51.91,-2.868,Red-tailed Bumblebee,1,10
51.92,-1.888,a white-tailed bumblebee,1,10
51.95,-4.178,Early Bumblebee,1,10
52.07,-4.645,Red-tailed Bumblebee,1,10
52.08,1.104,Early Bumblebee,1,10
52.1,-4.7,Indet. Bee,1,10
52.25,0.735,Buff-tailed Bumblebee,1,10
52.28,-1.409,a white-tailed bumblebee,1,10
52.28,-1.178,Common Carder,1,10
52.29,-1.46,Buff-tailed Bumblebee,1,10
52.34,1.503,Common Carder,1,10
52.56,-0.3079,Early Bumblebee,1,10
52.76,-0.7596,Buff-tailed Bumblebee,1,10
52.79,-2.09,Garden Bumblebee,1,10
52.91,-1.221,Red-tailed Bumblebee,1,10
52.93,-2.399,Indet. Bee,1,10
52.93,-1.191,Tree Bumblebee,1,10
52.94,1.139,Tree Bumblebee,1,10
52.95,-1.479,White/Buff-tailed Bumblebee workers,1,10
52.95,-1.269,Early Bumblebee,1,10
53.02,-1.392,Red-tailed Bumblebee,1,10
53.1,-1.577,Buff-tailed Bumblebee,1,10
53.12,-1.353,Common Carder,1,10
53.21,-1.741,Buff-tailed Bumblebee,1,10
53.27,-0.4887,Garden Bumblebee,1,10
53.29,-1.418,Buff-tailed Bumblebee,1,10
53.29,-1.418,White/Buff-tailed Bumblebee workers,1,10
53.34,-3.135,Red-tailed Bumblebee,1,10
53.56,-2.915,a white-tailed bumblebee,1,10
53.62,-2.868,Early Bumblebee,1,10
53.62,-2.866,a white-tailed bumblebee,1,10
53.66,-2.601,Buff-tailed Bumblebee,1,10
53.68,-1.862,Buff-tailed Bumblebee,1,10
53.84,-1.731,Red-tailed Bumblebee,1,10
53.94,-2.829,a white-tailed bumblebee,1,10
53.97,-2.436,Garden Bumblebee,1,10
53.99,-2.394,a white-tailed bumblebee,1,10
54.01,-0.4069,Tree Bumblebee,1,10
54.06,-1.979,Red-tailed Bumblebee,1,10
54.07,-1.979,a white-tailed bumblebee,1,10
54.18,-2.185,Indet. Bee,1,10
54.27,-2.392,Buff-tailed Bumblebee,1,10
54.31,-2.083,Tree Bumblebee,1,10
54.46,-0.5931,Tree Bumblebee,1,10
54.49,-1.687,Tree Bumblebee,1,10
54.88,-3.669,Honeybee,1,10
55.02,-1.565,Red-tailed Bumblebee,1,10
55.44,-5.141,Red-tailed Bumblebee,1,10
55.66,-1.957,Buff-tailed Bumblebee,1,10
55.77,-3.994,Buff-tailed Bumblebee,1,10
55.79,-4.201,Honeybee,1,10
55.8,-4.213,Early Bumblebee,1,10
55.81,-4.59,a white-tailed bumblebee,1,10
55.82,-3.218,Buff-tailed Bumblebee,1,10
55.83,-4.149,Early Bumblebee,1,10
55.86,-2.931,Indet. Bee,1,10
55.87,-4.068,a white-tailed bumblebee,1,10
55.9,-3.278,Indet. Bee,1,10
55.93,-4.515,a white-tailed bumblebee,1,10
55.94,-3.471,White/Buff-tailed Bumblebee workers,1,10
55.97,-4.33,Honeybee,1,10
55.97,-2.854,a white-tailed bumblebee,1,10
56.01,-4.581,Indet. Bee,1,10
56.12,-3.14,Indet. Bee,1,10
56.25,-3.242,Common Carder,1,10
56.3,-3.088,a white-tailed bumblebee,1,10
56.37,-5.425,Indet. Bee,1,10
56.38,-5.443,Garden Bumblebee,1,10
56.51,-5.399,Common Carder,1,10
56.64,-2.712,Garden Bumblebee,1,10
57.68,-3.12,Red-tailed Bumblebee,1,10
58.56,-3.773,Honeybee,1,10
58.61,-3.338,Garden Bumblebee,1,10
50.15,-5.137,Early Bumblebee,1,9
50.36,-3.947,Common Carder,1,9
50.52,-3.633,Indet. Bee,1,9
50.52,-3.514,White/Buff-tailed Bumblebee workers,1,9
50.62,-2.464,Indet. Bee,1,9
50.66,-3.341,Honeybee,1,9
50.68,-3.311,Common Carder,1,9
50.69,-1.521,Early Bumblebee,1,9
50.69,-1.521,Garden Bumblebee,1,9
50.72,-3.961,a white-tailed bumblebee,1,9
50.72,-3.961,Early Bumblebee,1,9
50.72,-3.961,Tree Bumblebee,1,9
50.72,-1.231,Garden Bumblebee,1,9
50.74,-3.533,Buff-tailed Bumblebee,1,9
50.76,-3.769,Common Carder,1,9
50.8,-1.559,Red-tailed Bumblebee,1,9
50.8,-1.549,Common Carder,1,9
50.83,-1.264,Red-tailed Bumblebee,1,9
50.83,-1.264,Tree Bumblebee,1,9
50.84,-0.6508,Garden Bumblebee,1,9
50.84,-0.6508,Tree Bumblebee,1,9
50.85,-1.068,Early Bumblebee,1,9
50.91,0.969,Buff-tailed Bumblebee,1,9
50.92,0.9336,Common Carder,1,9
50.94,0.9292,Common Carder,1,9
50.96,-4.167,Common Carder,1,9
50.96,-1.92,Tree Bumblebee,1,9
50.96,0.7984,a white-tailed bumblebee,1,9
50.96,0.8084,a white-tailed bumblebee,1,9
51,0.5909,Early Bumblebee,1,9
51,0.9587,Buff-tailed Bumblebee,1,9
51,0.9587,Red-tailed Bumblebee,1,9
51,0.963,Early Bumblebee,1,9
51.03,0.9506,Buff-tailed Bumblebee,1,9
51.03,1.009,Buff-tailed Bumblebee,1,9
51.08,0.7197,Common Carder,1,9
51.08,0.7197,Garden Bumblebee,1,9
51.1,-2.73,Buff-tailed Bumblebee,1,9
51.1,-2.143,Buff-tailed Bumblebee,1,9
51.11,-2.764,Early Bumblebee,1,9
51.14,-4.254,Indet. Bee,1,9
51.14,-3.131,Early Bumblebee,1,9
51.14,0.276,Red-tailed Bumblebee,1,9
51.15,-2.741,a white-tailed bumblebee,1,9
51.16,-2.839,Buff-tailed Bumblebee,1,9
51.16,-2.798,Red-tailed Bumblebee,1,9
51.17,-1.628,Buff-tailed Bumblebee,1,9
51.17,0.313,Early Bumblebee,1,9
51.19,-2.78,Tree Bumblebee,1,9
51.23,0.4878,Indet. Bee,1,9
51.29,0.05814,White/Buff-tailed Bumblebee workers,1,9
51.32,1.359,Red-tailed Bumblebee,1,9
51.34,0.958,White/Buff-tailed Bumblebee workers,1,9
51.39,-3.315,a white-tailed bumblebee,1,9
51.43,-2.874,a white-tailed bumblebee,1,9
51.43,-2.874,Red-tailed Bumblebee,1,9
51.44,-2.724,Honeybee,1,9
51.44,-2.724,Indet. Bee,1,9
51.44,-0.9396,Buff-tailed Bumblebee,1,9
51.44,-0.9396,Early Bumblebee,1,9
51.45,-2.115,Red-tailed Bumblebee,1,9
51.48,-0.7213,Red-tailed Bumblebee,1,9
51.48,0.01162,Early Bumblebee,1,9
51.49,0.126,Buff-tailed Bumblebee,1,9
51.5,-3.203,Buff-tailed Bumblebee,1,9
51.53,-1.883,Buff-tailed Bumblebee,1,9
51.54,0.492,a white-tailed bumblebee,1,9
51.57,-3.423,Common Carder,1,9
51.57,-1.312,Early Bumblebee,1,9
51.58,-2.83,Buff-tailed Bumblebee,1,9
51.58,-1.143,Garden Bumblebee,1,9
51.58,-1.143,Tree Bumblebee,1,9
51.58,-0.3605,a white-tailed bumblebee,1,9
51.58,-0.05151,Red-tailed Bumblebee,1,9
51.59,-2.704,Red-tailed Bumblebee,1,9
51.6,-2.767,Early Bumblebee,1,9
51.64,0.01308,Common Carder,1,9
51.64,0.0722,Indet. Bee,1,9
51.66,0.04165,Indet. Bee,1,9
51.74,-1.321,Garden Bumblebee,1,9
51.87,-4.968,a white-tailed bumblebee,1,9
51.88,-4.014,Red-tailed Bumblebee,1,9
51.89,-5.239,Red-tailed Bumblebee,1,9
52.12,-0.2558,Common Carder,1,9
52.12,-0.2558,Red-tailed Bumblebee,1,9
52.13,-4.529,Garden Bumblebee,1,9
52.22,-2.244,Tree Bumblebee,1,9
52.24,-0.06821,White/Buff-tailed Bumblebee workers,1,9
52.26,-0.6388,Buff-tailed Bumblebee,1,9
52.26,-0.6388,Red-tailed Bumblebee,1,9
52.32,-3.067,Buff-tailed Bumblebee,1,9
52.32,-3.067,Early Bumblebee,1,9
52.37,-2.311,Red-tailed Bumblebee,1,9
52.4,-4.084,Red-tailed Bumblebee,1,9
52.49,-2.1,a white-tailed bumblebee,1,9
52.53,1.32,a white-tailed bumblebee,1,9
52.53,1.32,Early Bumblebee,1,9
52.53,1.32,Tree Bumblebee,1,9
52.56,-0.3079,Indet. Bee,1,9
52.59,-1.702,Tree Bumblebee,1,9
52.59,-1.088,Common Carder,1,9
52.59,-1.088,Tree Bumblebee,1,9
52.62,-1.966,Tree Bumblebee,1,9
52.68,-0.02363,Early Bumblebee,1,9
52.76,-0.7596,a white-tailed bumblebee,1,9
52.76,0.3578,Indet. Bee,1,9
52.77,0.4367,Early Bumblebee,1,9
52.79,-2.09,White/Buff-tailed Bumblebee workers,1,9
52.91,-1.221,Early Bumblebee,1,9
52.91,-0.6349,Common Carder,1,9
52.95,-1.269,a white-tailed bumblebee,1,9
53.02,-1.392,Buff-tailed Bumblebee,1,9
53.06,-2.977,Common Carder,1,9
53.06,-2.977,Tree Bumblebee,1,9
53.07,-2.919,Buff-tailed Bumblebee,1,9
53.1,-1.577,Early Bumblebee,1,9
53.16,-1.533,Buff-tailed Bumblebee,1,9
53.23,-2.881,Early Bumblebee,1,9
53.27,-2.604,Common Carder,1,9
53.28,-3.831,Honeybee,1,9
53.29,-1.418,Tree Bumblebee,1,9
53.43,-2.296,Buff-tailed Bumblebee,1,9
53.43,-2.272,Red-tailed Bumblebee,1,9
53.45,-2.456,Buff-tailed Bumblebee,1,9
53.53,-2.347,a white-tailed bumblebee,1,9
53.53,-2.106,Tree Bumblebee,1,9
53.63,-0.9248,Indet. Bee,1,9
53.72,-1.8,Buff-tailed Bumblebee,1,9
53.72,-0.4558,Early Bumblebee,1,9
53.94,-2.829,Garden Bumblebee,1,9
53.95,-2.425,Tree Bumblebee,1,9
54.04,-2.814,Red-tailed Bumblebee,1,9
54.06,-1.451,Tree Bumblebee,1,9
54.18,-2.185,White/Buff-tailed Bumblebee workers,1,9
54.2,-2.141,Garden Bumblebee,1,9
54.29,-2.84,Indet. Bee,1,9
54.3,-2.794,Buff-tailed Bumblebee,1,9
54.41,-1.746,Garden Bumblebee,1,9
54.46,-0.5931,a white-tailed bumblebee,1,9
54.49,-1.687,Buff-tailed Bumblebee,1,9
54.49,-1.687,Early Bumblebee,1,9
54.76,-2.022,Common Carder,1,9
54.83,-1.852,White/Buff-tailed Bumblebee workers,1,9
54.83,-1.499,Garden Bumblebee,1,9
54.83,-1.499,Tree Bumblebee,1,9
54.88,-2.809,a white-tailed bumblebee,1,9
54.93,-1.402,Buff-tailed Bumblebee,1,9
54.96,-1.886,Common Carder,1,9
54.96,-1.397,a white-tailed bumblebee,1,9
55.02,-1.435,Honeybee,1,9
55.66,-3.774,a white-tailed bumblebee,1,9
55.79,-4.319,White/Buff-tailed Bumblebee workers,1,9
55.82,-4.56,Early Bumblebee,1,9
55.83,-6.356,Garden Bumblebee,1,9
55.83,-4.697,White/Buff-tailed Bumblebee workers,1,9
55.84,-4.435,Common Carder,1,9
55.89,-3.632,Common Carder,1,9
55.89,-3.314,Indet. Bee,1,9
55.91,-3.035,Honeybee,1,9
55.91,-2.885,Garden Bumblebee,1,9
55.92,-3.269,White/Buff-tailed Bumblebee workers,1,9
55.92,-3.237,a white-tailed bumblebee,1,9
55.93,-3.226,a white-tailed bumblebee,1,9
55.93,-3.045,a white-tailed bumblebee,1,9
55.95,-3.275,Tree Bumblebee,1,9
55.95,-3.238,Tree Bumblebee,1,9
55.95,-3.166,Early Bumblebee,1,9
55.99,-2.452,Common Carder,1,9
56.04,-4.447,a white-tailed bumblebee,1,9
56.16,-3.921,Red-tailed Bumblebee,1,9
56.19,-2.857,White/Buff-tailed Bumblebee workers,1,9
56.38,-5.443,a white-tailed bumblebee,1,9
56.47,-2.951,Indet. Bee,1,9
57.12,-2.168,White/Buff-tailed Bumblebee workers,1,9
57.13,-2.159,White/Buff-tailed Bumblebee workers,1,9
57.6,-3.599,Garden Bumblebee,1,9
58.6,-3.382,Garden Bumblebee,1,9
50.56,-3.683,Early Bumblebee,1,8
50.68,-1.154,Indet. Bee,1,8
50.71,-1.402,Garden Bumblebee,1,8
50.74,-1.534,Early Bumblebee,1,8
50.8,-1.549,White/Buff-tailed Bumblebee workers,1,8
50.83,-1.264,Common Carder,1,8
50.83,-1.056,Indet. Bee,1,8
50.83,0.4185,Tree Bumblebee,1,8
50.85,-1.852,Tree Bumblebee,1,8
50.87,-3.926,Common Carder,1,8
50.87,-0.1055,Early Bumblebee,1,8
50.87,0.0168,Early Bumblebee,1,8
50.92,0.9753,Early Bumblebee,1,8
50.93,-0.2838,Buff-tailed Bumblebee,1,8
50.93,0.7451,Common Carder,1,8
50.93,0.9161,Buff-tailed Bumblebee,1,8
50.93,0.9161,Common Carder,1,8
50.93,0.9299,a white-tailed bumblebee,1,8
50.96,0.7983,a white-tailed bumblebee,1,8
50.96,0.8041,Common Carder,1,8
50.96,0.8084,Common Carder,1,8
50.96,0.9223,Red-tailed Bumblebee,1,8
51.01,-0.1242,Common Carder,1,8
51.06,-1.789,a white-tailed bumblebee,1,8
51.06,0.5743,Red-tailed Bumblebee,1,8
51.07,0.7108,Common Carder,1,8
51.07,0.7108,Garden Bumblebee,1,8
51.07,0.7951,Early Bumblebee,1,8
51.07,0.7951,Garden Bumblebee,1,8
51.07,1.113,Indet. Bee,1,8
51.08,-2.548,Buff-tailed Bumblebee,1,8
51.08,0.7937,Common Carder,1,8
51.1,-4.208,White/Buff-tailed Bumblebee workers,1,8
51.13,-3.352,Indet. Bee,1,8
51.16,-2.798,Indet. Bee,1,8
51.16,-0.1951,Common Carder,1,8
51.17,-2.827,Garden Bumblebee,1,8
51.17,-2.827,Tree Bumblebee,1,8
51.17,-1.628,Honeybee,1,8
51.17,-1.628,Tree Bumblebee,1,8
51.17,0.3261,Indet. Bee,1,8
51.2,-2.69,Garden Bumblebee,1,8
51.21,-1.689,Red-tailed Bumblebee,1,8
51.25,-1.683,Tree Bumblebee,1,8
51.25,0.3172,Tree Bumblebee,1,8
51.27,-1.713,Garden Bumblebee,1,8
51.29,0.2702,Early Bumblebee,1,8
51.32,1.358,Buff-tailed Bumblebee,1,8
51.33,-2.835,Buff-tailed Bumblebee,1,8
51.36,0.5785,Indet. Bee,1,8
51.37,0.5543,Early Bumblebee,1,8
