,lat,lon,Species,Present,Total,elevation,Apple,Pear,Plum,Cherry,Damson,VetTrees10,Vet_11_30,Vet_31_100,Vet_100,YFT10,YFT_11_30,YFT_31_100,YFT_100,Grazed,Mown,Unmanaged,Sheep,Cattle,Equine,Pigs,Fowl,GrazingDmg,BranchHols,Loose_bark,Cavities,DW_Canopy,DW_Floor,WaterPools,Crevices,Sap_runs,FungalFrts,AerialRts,Hedgerows,Ponds,VetTrees,RoughAreas
29,50.87,0.0168,Honeybee,1,760,10.0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
30,51.38,0.6095,Common Carder,1,759,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,50.98,-1.94,Red-tailed Bumblebee,1,755,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,51.57,-1.312,Honeybee,1,753,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,56.12,-3.14,White/Buff-tailed Bumblebee workers,1,751,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,52.91,-1.221,Honeybee,1,747,30.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0
35,53.83,-0.5884,Common Carder,1,745,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,53.97,-2.437,White/Buff-tailed Bumblebee workers,1,728,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,52.61,-1.147,Common Carder,1,719,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,50.62,-3.417,Honeybee,1,717,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
