,lat,lon,index,lat,lon
137,55.01,-1.634,223836,55.01,-1.634
138,51.62,0.4211,90606,51.62,0.4198
139,51.25,-1.683,34147,51.25,-1.673
140,55.99,-2.447,236805,55.96,-2.451
141,51.5,0.1438,67258,51.5,0.1448
142,51.16,-2.843,28413,51.14,-2.835
143,50.73,-1.551,8429,50.74,-1.545
144,55.91,-4.449,234353,55.91,-4.455
145,57.62,-3.093,245569,57.62,-3.1
146,50.98,-4.52,21699,50.99,-4.513
147,53.18,-1.259,167569,53.18,-1.258
148,56.06,-4.227,238303,56.06,-4.226
149,51.0,0.963,22536,51.0,0.9555
150,52.45,0.9918,136005,52.45,0.9892
151,54.83,-1.499,219302,54.83,-1.495
152,55.99,-3.467,237209,55.98,-3.456
153,56.0,-3.47,237208,55.98,-3.48
154,55.2,-4.225,225728,55.2,-4.235
155,51.16,-2.81,29030,51.15,-2.816
156,56.16,-3.921,239413,56.16,-3.931
157,54.27,-2.392,212378,54.28,-2.389
158,51.53,-0.1271,73553,51.53,-0.1271
159,56.56,-2.597,241738,56.56,-2.596
160,51.15,-2.769,28417,51.14,-2.761
161,53.74,-2.23,198305,53.73,-2.241
162,51.16,-2.829,29905,51.17,-2.817
163,51.16,-2.798,29906,51.17,-2.79
164,56.64,-2.712,242040,56.64,-2.708
165,55.78,-4.02,229750,55.78,-4.013
166,51.29,0.05814,38093,51.3,0.05405
167,53.59,-3.071,191554,53.59,-3.057
168,57.25,-2.729,243845,57.24,-2.727
169,51.16,-2.834,29905,51.17,-2.817
170,51.48,0.01162,62999,51.48,0.01171
171,51.58,-1.068,84718,51.59,-1.074
172,52.79,-4.726,153635,52.79,-4.74
173,52.76,0.3578,152703,52.76,0.3558
174,52.19,-3.996,123610,52.19,-3.983
175,57.6,-3.61,245463,57.6,-3.608
176,50.95,0.7773,20045,50.94,0.7833
177,52.83,1.215,155089,52.83,1.231
178,55.95,-3.178,236296,55.95,-3.178
179,51.0,0.9586,22536,51.0,0.9555
180,52.53,1.32,141333,52.54,1.319
181,53.04,-1.503,162678,53.04,-1.503
182,52.3,0.0166,128996,52.3,0.01931
183,51.59,-0.02225,85539,51.59,-0.02225
