County,Species,CountySpecies,Agg Total,Agg Present
North Ayrshire,Buff-tailed Bumblebee,North Ayrshire Buff-tailed Bumblebee,13,1
North Devon,Buff-tailed Bumblebee,North Devon Buff-tailed Bumblebee,1077,1
North Essex,Buff-tailed Bumblebee,North Essex Buff-tailed Bumblebee,180,1
North Hampshire,Buff-tailed Bumblebee,North Hampshire Buff-tailed Bumblebee,183,1
North Lanarkshire,Buff-tailed Bumblebee,North Lanarkshire Buff-tailed Bumblebee,26,1
North Lincolnshire,Buff-tailed Bumblebee,North Lincolnshire Buff-tailed Bumblebee,0,0
North Northumberland,Buff-tailed Bumblebee,North Northumberland Buff-tailed Bumblebee,64,1
North Somerset,Buff-tailed Bumblebee,North Somerset Buff-tailed Bumblebee,1005,1
North Wiltshire,Buff-tailed Bumblebee,North Wiltshire Buff-tailed Bumblebee,947,1
North-east Yorkshire,Buff-tailed Bumblebee,North-east Yorkshire Buff-tailed Bumblebee,311,1
North-west Yorkshire,Buff-tailed Bumblebee,North-west Yorkshire Buff-tailed Bumblebee,229,1
Northamptonshire,Buff-tailed Bumblebee,Northamptonshire Buff-tailed Bumblebee,59,1
Northumberland,Buff-tailed Bumblebee,Northumberland Buff-tailed Bumblebee,251,1
Nottinghamshire,Buff-tailed Bumblebee,Nottinghamshire Buff-tailed Bumblebee,193,1
Orkney,Buff-tailed Bumblebee,Orkney Buff-tailed Bumblebee,0,0
Oxfordshire,Buff-tailed Bumblebee,Oxfordshire Buff-tailed Bumblebee,503,1
Pembrokeshire,Buff-tailed Bumblebee,Pembrokeshire Buff-tailed Bumblebee,341,1
Perthshire,Buff-tailed Bumblebee,Perthshire Buff-tailed Bumblebee,12,1
Radnorshire,Buff-tailed Bumblebee,Radnorshire Buff-tailed Bumblebee,75,1
Renfrewshire,Buff-tailed Bumblebee,Renfrewshire Buff-tailed Bumblebee,740,1
Roxburghshire,Buff-tailed Bumblebee,Roxburghshire Buff-tailed Bumblebee,0,0
Shropshire,Buff-tailed Bumblebee,Shropshire Buff-tailed Bumblebee,58,1
South Aberdeenshire,Buff-tailed Bumblebee,South Aberdeenshire Buff-tailed Bumblebee,256,1
South Devon,Buff-tailed Bumblebee,South Devon Buff-tailed Bumblebee,377,1
South East Yorkshire,Buff-tailed Bumblebee,South East Yorkshire Buff-tailed Bumblebee,24,1
South Ebudes,Buff-tailed Bumblebee,South Ebudes Buff-tailed Bumblebee,37,1
South Essex,Buff-tailed Bumblebee,South Essex Buff-tailed Bumblebee,848,1
South Hampshire,Buff-tailed Bumblebee,South Hampshire Buff-tailed Bumblebee,1410,1
South Lanarkshire,Buff-tailed Bumblebee,South Lanarkshire Buff-tailed Bumblebee,23,1
South Lancashire,Buff-tailed Bumblebee,South Lancashire Buff-tailed Bumblebee,749,1
South Lincolnshire,Buff-tailed Bumblebee,South Lincolnshire Buff-tailed Bumblebee,3,1
South Northumberland,Buff-tailed Bumblebee,South Northumberland Buff-tailed Bumblebee,240,1
South Somerset,Buff-tailed Bumblebee,South Somerset Buff-tailed Bumblebee,340,1
South Wiltshire,Buff-tailed Bumblebee,South Wiltshire Buff-tailed Bumblebee,1368,1
South-east Yorkshire,Buff-tailed Bumblebee,South-east Yorkshire Buff-tailed Bumblebee,190,1
South-west Yorkshire,Buff-tailed Bumblebee,South-west Yorkshire Buff-tailed Bumblebee,119,1
Staffordshire,Buff-tailed Bumblebee,Staffordshire Buff-tailed Bumblebee,307,1
Stirlingshire,Buff-tailed Bumblebee,Stirlingshire Buff-tailed Bumblebee,491,1
Surrey,Buff-tailed Bumblebee,Surrey Buff-tailed Bumblebee,795,1
Sussex,Buff-tailed Bumblebee,Sussex Buff-tailed Bumblebee,0,0
Warwickshire,Buff-tailed Bumblebee,Warwickshire Buff-tailed Bumblebee,167,1
West Cornwall with Scilly,Buff-tailed Bumblebee,West Cornwall with Scilly Buff-tailed Bumblebee,143,1
West Gloucestershire,Buff-tailed Bumblebee,West Gloucestershire Buff-tailed Bumblebee,215,1
