County,Species,CountySpecies,Agg Total,Agg Present
South Lanarkshire,Red-tailed Cuckoo Bumblebee,South Lanarkshire Red-tailed Cuckoo Bumblebee,0,0
South Lancashire,Red-tailed Cuckoo Bumblebee,South Lancashire Red-tailed Cuckoo Bumblebee,1,1
South Lincolnshire,Red-tailed Cuckoo Bumblebee,South Lincolnshire Red-tailed Cuckoo Bumblebee,0,0
South Northumberland,Red-tailed Cuckoo Bumblebee,South Northumberland Red-tailed Cuckoo Bumblebee,0,0
South Somerset,Red-tailed Cuckoo Bumblebee,South Somerset Red-tailed Cuckoo Bumblebee,4,1
South Wiltshire,Red-tailed Cuckoo Bumblebee,South Wiltshire Red-tailed Cuckoo Bumblebee,131,1
South-east Yorkshire,Red-tailed Cuckoo Bumblebee,South-east Yorkshire Red-tailed Cuckoo Bumblebee,0,0
South-west Yorkshire,Red-tailed Cuckoo Bumblebee,South-west Yorkshire Red-tailed Cuckoo Bumblebee,3,1
Staffordshire,Red-tailed Cuckoo Bumblebee,Staffordshire Red-tailed Cuckoo Bumblebee,1,1
Stirlingshire,Red-tailed Cuckoo Bumblebee,Stirlingshire Red-tailed Cuckoo Bumblebee,0,0
Surrey,Red-tailed Cuckoo Bumblebee,Surrey Red-tailed Cuckoo Bumblebee,0,0
Sussex,Red-tailed Cuckoo Bumblebee,Sussex Red-tailed Cuckoo Bumblebee,0,0
Warwickshire,Red-tailed Cuckoo Bumblebee,Warwickshire Red-tailed Cuckoo Bumblebee,2,1
West Cornwall with Scilly,Red-tailed Cuckoo Bumblebee,West Cornwall with Scilly Red-tailed Cuckoo Bumblebee,0,0
West Gloucestershire,Red-tailed Cuckoo Bumblebee,West Gloucestershire Red-tailed Cuckoo Bumblebee,18,1
West Inverness-shire,Red-tailed Cuckoo Bumblebee,West Inverness-shire Red-tailed Cuckoo Bumblebee,0,0
West Kent,Red-tailed Cuckoo Bumblebee,West Kent Red-tailed Cuckoo Bumblebee,5,1
West Lancashire,Red-tailed Cuckoo Bumblebee,West Lancashire Red-tailed Cuckoo Bumblebee,0,0
West Norfolk,Red-tailed Cuckoo Bumblebee,West Norfolk Red-tailed Cuckoo Bumblebee,1,1
West Perthshire,Red-tailed Cuckoo Bumblebee,West Perthshire Red-tailed Cuckoo Bumblebee,0,0
West Suffolk,Red-tailed Cuckoo Bumblebee,West Suffolk Red-tailed Cuckoo Bumblebee,0,0
West Sussex,Red-tailed Cuckoo Bumblebee,West Sussex Red-tailed Cuckoo Bumblebee,6,1
Westmorland,Red-tailed Cuckoo Bumblebee,Westmorland Red-tailed Cuckoo Bumblebee,2,1
Worcestershire,Red-tailed Cuckoo Bumblebee,Worcestershire Red-tailed Cuckoo Bumblebee,1,1
Yorkshire,Red-tailed Cuckoo Bumblebee,Yorkshire Red-tailed Cuckoo Bumblebee,17,1
Aberdeenshire,Silvery Leafcutter Bee,Aberdeenshire Silvery Leafcutter Bee,0,0
Alderney,Silvery Leafcutter Bee,Alderney Silvery Leafcutter Bee,0,0
Angus,Silvery Leafcutter Bee,Angus Silvery Leafcutter Bee,0,0
Argyll & Bute,Silvery Leafcutter Bee,Argyll & Bute Silvery Leafcutter Bee,0,0
Argyllshire,Silvery Leafcutter Bee,Argyllshire Silvery Leafcutter Bee,0,0
Ayrshire,Silvery Leafcutter Bee,Ayrshire Silvery Leafcutter Bee,0,0
Bedfordshire,Silvery Leafcutter Bee,Bedfordshire Silvery Leafcutter Bee,0,0
Berkshire,Silvery Leafcutter Bee,Berkshire Silvery Leafcutter Bee,1,1
Berwickshire,Silvery Leafcutter Bee,Berwickshire Silvery Leafcutter Bee,0,0
Buckinghamshire,Silvery Leafcutter Bee,Buckinghamshire Silvery Leafcutter Bee,0,0
Caernarvonshire,Silvery Leafcutter Bee,Caernarvonshire Silvery Leafcutter Bee,0,0
Caithness,Silvery Leafcutter Bee,Caithness Silvery Leafcutter Bee,0,0
Camarthenshire,Silvery Leafcutter Bee,Camarthenshire Silvery Leafcutter Bee,0,0
Cambridgeshire,Silvery Leafcutter Bee,Cambridgeshire Silvery Leafcutter Bee,0,0
Cardiganshire,Silvery Leafcutter Bee,Cardiganshire Silvery Leafcutter Bee,0,0
Carmarthenshire,Silvery Leafcutter Bee,Carmarthenshire Silvery Leafcutter Bee,0,0
Ceredigion,Silvery Leafcutter Bee,Ceredigion Silvery Leafcutter Bee,0,0
Cheshire,Silvery Leafcutter Bee,Cheshire Silvery Leafcutter Bee,0,0
Clyde Isles,Silvery Leafcutter Bee,Clyde Isles Silvery Leafcutter Bee,0,0
Conwy,Silvery Leafcutter Bee,Conwy Silvery Leafcutter Bee,0,0
County Durham,Silvery Leafcutter Bee,County Durham Silvery Leafcutter Bee,0,0
Cumberland,Silvery Leafcutter Bee,Cumberland Silvery Leafcutter Bee,0,0
Denbighshire,Silvery Leafcutter Bee,Denbighshire Silvery Leafcutter Bee,0,0
Derbyshire,Silvery Leafcutter Bee,Derbyshire Silvery Leafcutter Bee,0,0
Dorset,Silvery Leafcutter Bee,Dorset Silvery Leafcutter Bee,0,0
Dumfriesshire,Silvery Leafcutter Bee,Dumfriesshire  Silvery Leafcutter Bee,0,0
Dunbartonshire,Silvery Leafcutter Bee,Dunbartonshire Silvery Leafcutter Bee,0,0
East Cornwall,Silvery Leafcutter Bee,East Cornwall Silvery Leafcutter Bee,0,0
East Gloucestershire,Silvery Leafcutter Bee,East Gloucestershire Silvery Leafcutter Bee,0,0
East Inverness-shire,Silvery Leafcutter Bee,East Inverness-shire Silvery Leafcutter Bee,0,0
East Kent,Silvery Leafcutter Bee,East Kent Silvery Leafcutter Bee,0,0
East Lothian,Silvery Leafcutter Bee,East Lothian Silvery Leafcutter Bee,0,0
East Norfolk,Silvery Leafcutter Bee,East Norfolk Silvery Leafcutter Bee,0,0
East Perthshire,Silvery Leafcutter Bee,East Perthshire Silvery Leafcutter Bee,0,0
East Suffolk,Silvery Leafcutter Bee,East Suffolk Silvery Leafcutter Bee,0,0
East Sussex,Silvery Leafcutter Bee,East Sussex Silvery Leafcutter Bee,0,0
East Sutherland,Silvery Leafcutter Bee,East Sutherland Silvery Leafcutter Bee,0,0
Fifeshire,Silvery Leafcutter Bee,Fifeshire Silvery Leafcutter Bee,0,0
Flintshire,Silvery Leafcutter Bee,Flintshire Silvery Leafcutter Bee,0,0
Glamorganshire,Silvery Leafcutter Bee,Glamorganshire Silvery Leafcutter Bee,0,0
Gwent,Silvery Leafcutter Bee,Gwent Silvery Leafcutter Bee,0,0
Herefordshire,Silvery Leafcutter Bee,Herefordshire Silvery Leafcutter Bee,0,0
Hertfordshire,Silvery Leafcutter Bee,Hertfordshire Silvery Leafcutter Bee,0,0
Huntingdonshire,Silvery Leafcutter Bee,Huntingdonshire Silvery Leafcutter Bee,0,0
Isle of Man,Silvery Leafcutter Bee,Isle of Man Silvery Leafcutter Bee,0,0
Isle of Wight,Silvery Leafcutter Bee,Isle of Wight Silvery Leafcutter Bee,0,0
Kincardineshire,Silvery Leafcutter Bee,Kincardineshire Silvery Leafcutter Bee,0,0
Kirkudbrightshire,Silvery Leafcutter Bee,Kirkudbrightshire Silvery Leafcutter Bee,0,0
Lanarkshire,Silvery Leafcutter Bee,Lanarkshire Silvery Leafcutter Bee,0,0
Lancashire,Silvery Leafcutter Bee,Lancashire Silvery Leafcutter Bee,0,0
Leicestershire,Silvery Leafcutter Bee,Leicestershire Silvery Leafcutter Bee,0,0
Lincolnshire,Silvery Leafcutter Bee,Lincolnshire Silvery Leafcutter Bee,0,0
Linlithgow,Silvery Leafcutter Bee,Linlithgow Silvery Leafcutter Bee,0,0
Mid Perthshire,Silvery Leafcutter Bee,Mid Perthshire Silvery Leafcutter Bee,0,0
Mid-west Yorkshire,Silvery Leafcutter Bee,Mid-west Yorkshire Silvery Leafcutter Bee,0,0
Middlesex,Silvery Leafcutter Bee,Middlesex Silvery Leafcutter Bee,0,0
Midlothian,Silvery Leafcutter Bee,Midlothian Silvery Leafcutter Bee,0,0
Monmouthshire,Silvery Leafcutter Bee,Monmouthshire Silvery Leafcutter Bee,0,0
Moray,Silvery Leafcutter Bee,Moray Silvery Leafcutter Bee,0,0
North Aberdeenshire,Silvery Leafcutter Bee,North Aberdeenshire Silvery Leafcutter Bee,0,0
North Ayrshire,Silvery Leafcutter Bee,North Ayrshire Silvery Leafcutter Bee,0,0
North Devon,Silvery Leafcutter Bee,North Devon Silvery Leafcutter Bee,0,0
North Essex,Silvery Leafcutter Bee,North Essex Silvery Leafcutter Bee,0,0
North Hampshire,Silvery Leafcutter Bee,North Hampshire Silvery Leafcutter Bee,0,0
North Lanarkshire,Silvery Leafcutter Bee,North Lanarkshire Silvery Leafcutter Bee,0,0
North Lincolnshire,Silvery Leafcutter Bee,North Lincolnshire Silvery Leafcutter Bee,0,0
North Northumberland,Silvery Leafcutter Bee,North Northumberland Silvery Leafcutter Bee,0,0
North Somerset,Silvery Leafcutter Bee,North Somerset Silvery Leafcutter Bee,0,0
North Wiltshire,Silvery Leafcutter Bee,North Wiltshire Silvery Leafcutter Bee,0,0
North-east Yorkshire,Silvery Leafcutter Bee,North-east Yorkshire Silvery Leafcutter Bee,0,0
North-west Yorkshire,Silvery Leafcutter Bee,North-west Yorkshire Silvery Leafcutter Bee,0,0
Northamptonshire,Silvery Leafcutter Bee,Northamptonshire Silvery Leafcutter Bee,0,0
Northumberland,Silvery Leafcutter Bee,Northumberland Silvery Leafcutter Bee,0,0
Nottinghamshire,Silvery Leafcutter Bee,Nottinghamshire Silvery Leafcutter Bee,0,0
Orkney,Silvery Leafcutter Bee,Orkney Silvery Leafcutter Bee,0,0
Oxfordshire,Silvery Leafcutter Bee,Oxfordshire Silvery Leafcutter Bee,0,0
Pembrokeshire,Silvery Leafcutter Bee,Pembrokeshire Silvery Leafcutter Bee,0,0
Perthshire,Silvery Leafcutter Bee,Perthshire Silvery Leafcutter Bee,0,0
Radnorshire,Silvery Leafcutter Bee,Radnorshire Silvery Leafcutter Bee,0,0
Renfrewshire,Silvery Leafcutter Bee,Renfrewshire Silvery Leafcutter Bee,0,0
Roxburghshire,Silvery Leafcutter Bee,Roxburghshire Silvery Leafcutter Bee,0,0
Shropshire,Silvery Leafcutter Bee,Shropshire Silvery Leafcutter Bee,0,0
South Aberdeenshire,Silvery Leafcutter Bee,South Aberdeenshire Silvery Leafcutter Bee,0,0
South Devon,Silvery Leafcutter Bee,South Devon Silvery Leafcutter Bee,1,1
South East Yorkshire,Silvery Leafcutter Bee,South East Yorkshire Silvery Leafcutter Bee,0,0
South Ebudes,Silvery Leafcutter Bee,South Ebudes Silvery Leafcutter Bee,0,0
South Essex,Silvery Leafcutter Bee,South Essex Silvery Leafcutter Bee,0,0
South Hampshire,Silvery Leafcutter Bee,South Hampshire Silvery Leafcutter Bee,0,0
South Lanarkshire,Silvery Leafcutter Bee,South Lanarkshire Silvery Leafcutter Bee,0,0
South Lancashire,Silvery Leafcutter Bee,South Lancashire Silvery Leafcutter Bee,0,0
South Lincolnshire,Silvery Leafcutter Bee,South Lincolnshire Silvery Leafcutter Bee,0,0
South Northumberland,Silvery Leafcutter Bee,South Northumberland Silvery Leafcutter Bee,0,0
South Somerset,Silvery Leafcutter Bee,South Somerset Silvery Leafcutter Bee,0,0
South Wiltshire,Silvery Leafcutter Bee,South Wiltshire Silvery Leafcutter Bee,0,0
South-east Yorkshire,Silvery Leafcutter Bee,South-east Yorkshire Silvery Leafcutter Bee,0,0
South-west Yorkshire,Silvery Leafcutter Bee,South-west Yorkshire Silvery Leafcutter Bee,0,0
Staffordshire,Silvery Leafcutter Bee,Staffordshire Silvery Leafcutter Bee,0,0
Stirlingshire,Silvery Leafcutter Bee,Stirlingshire Silvery Leafcutter Bee,0,0
Surrey,Silvery Leafcutter Bee,Surrey Silvery Leafcutter Bee,0,0
Sussex,Silvery Leafcutter Bee,Sussex Silvery Leafcutter Bee,0,0
Warwickshire,Silvery Leafcutter Bee,Warwickshire Silvery Leafcutter Bee,0,0
West Cornwall with Scilly,Silvery Leafcutter Bee,West Cornwall with Scilly Silvery Leafcutter Bee,0,0
West Gloucestershire,Silvery Leafcutter Bee,West Gloucestershire Silvery Leafcutter Bee,0,0
West Inverness-shire,Silvery Leafcutter Bee,West Inverness-shire Silvery Leafcutter Bee,0,0
West Kent,Silvery Leafcutter Bee,West Kent Silvery Leafcutter Bee,0,0
West Lancashire,Silvery Leafcutter Bee,West Lancashire Silvery Leafcutter Bee,0,0
West Norfolk,Silvery Leafcutter Bee,West Norfolk Silvery Leafcutter Bee,0,0
West Perthshire,Silvery Leafcutter Bee,West Perthshire Silvery Leafcutter Bee,0,0
West Suffolk,Silvery Leafcutter Bee,West Suffolk Silvery Leafcutter Bee,0,0
West Sussex,Silvery Leafcutter Bee,West Sussex Silvery Leafcutter Bee,0,0
Westmorland,Silvery Leafcutter Bee,Westmorland Silvery Leafcutter Bee,0,0
Worcestershire,Silvery Leafcutter Bee,Worcestershire Silvery Leafcutter Bee,0,0
Yorkshire,Silvery Leafcutter Bee,Yorkshire Silvery Leafcutter Bee,0,0
Aberdeenshire,Southern Cuckoo Bumblebee,Aberdeenshire Southern Cuckoo Bumblebee,0,0
Alderney,Southern Cuckoo Bumblebee,Alderney Southern Cuckoo Bumblebee,0,0
Angus,Southern Cuckoo Bumblebee,Angus Southern Cuckoo Bumblebee,0,0
Argyll & Bute,Southern Cuckoo Bumblebee,Argyll & Bute Southern Cuckoo Bumblebee,0,0
Argyllshire,Southern Cuckoo Bumblebee,Argyllshire Southern Cuckoo Bumblebee,0,0
Ayrshire,Southern Cuckoo Bumblebee,Ayrshire Southern Cuckoo Bumblebee,0,0
Bedfordshire,Southern Cuckoo Bumblebee,Bedfordshire Southern Cuckoo Bumblebee,0,0
Berkshire,Southern Cuckoo Bumblebee,Berkshire Southern Cuckoo Bumblebee,11,1
Berwickshire,Southern Cuckoo Bumblebee,Berwickshire Southern Cuckoo Bumblebee,0,0
Buckinghamshire,Southern Cuckoo Bumblebee,Buckinghamshire Southern Cuckoo Bumblebee,19,1
Caernarvonshire,Southern Cuckoo Bumblebee,Caernarvonshire Southern Cuckoo Bumblebee,0,0
Caithness,Southern Cuckoo Bumblebee,Caithness Southern Cuckoo Bumblebee,0,0
Camarthenshire,Southern Cuckoo Bumblebee,Camarthenshire Southern Cuckoo Bumblebee,0,0
Cambridgeshire,Southern Cuckoo Bumblebee,Cambridgeshire Southern Cuckoo Bumblebee,171,1
Cardiganshire,Southern Cuckoo Bumblebee,Cardiganshire Southern Cuckoo Bumblebee,2,1
Carmarthenshire,Southern Cuckoo Bumblebee,Carmarthenshire Southern Cuckoo Bumblebee,0,0
Ceredigion,Southern Cuckoo Bumblebee,Ceredigion Southern Cuckoo Bumblebee,0,0
Cheshire,Southern Cuckoo Bumblebee,Cheshire Southern Cuckoo Bumblebee,0,0
Clyde Isles,Southern Cuckoo Bumblebee,Clyde Isles Southern Cuckoo Bumblebee,0,0
Conwy,Southern Cuckoo Bumblebee,Conwy Southern Cuckoo Bumblebee,0,0
County Durham,Southern Cuckoo Bumblebee,County Durham Southern Cuckoo Bumblebee,0,0
Cumberland,Southern Cuckoo Bumblebee,Cumberland Southern Cuckoo Bumblebee,1,1
Denbighshire,Southern Cuckoo Bumblebee,Denbighshire Southern Cuckoo Bumblebee,0,0
Derbyshire,Southern Cuckoo Bumblebee,Derbyshire Southern Cuckoo Bumblebee,24,1
Dorset,Southern Cuckoo Bumblebee,Dorset Southern Cuckoo Bumblebee,7,1
Dumfriesshire,Southern Cuckoo Bumblebee,Dumfriesshire  Southern Cuckoo Bumblebee,0,0
Dunbartonshire,Southern Cuckoo Bumblebee,Dunbartonshire Southern Cuckoo Bumblebee,0,0
East Cornwall,Southern Cuckoo Bumblebee,East Cornwall Southern Cuckoo Bumblebee,0,0
East Gloucestershire,Southern Cuckoo Bumblebee,East Gloucestershire Southern Cuckoo Bumblebee,3,1
East Inverness-shire,Southern Cuckoo Bumblebee,East Inverness-shire Southern Cuckoo Bumblebee,0,0
East Kent,Southern Cuckoo Bumblebee,East Kent Southern Cuckoo Bumblebee,336,1
East Lothian,Southern Cuckoo Bumblebee,East Lothian Southern Cuckoo Bumblebee,1,1
East Norfolk,Southern Cuckoo Bumblebee,East Norfolk Southern Cuckoo Bumblebee,19,1
East Perthshire,Southern Cuckoo Bumblebee,East Perthshire Southern Cuckoo Bumblebee,0,0
East Suffolk,Southern Cuckoo Bumblebee,East Suffolk Southern Cuckoo Bumblebee,5,1
East Sussex,Southern Cuckoo Bumblebee,East Sussex Southern Cuckoo Bumblebee,31,1
East Sutherland,Southern Cuckoo Bumblebee,East Sutherland Southern Cuckoo Bumblebee,0,0
Fifeshire,Southern Cuckoo Bumblebee,Fifeshire Southern Cuckoo Bumblebee,0,0
Flintshire,Southern Cuckoo Bumblebee,Flintshire Southern Cuckoo Bumblebee,0,0
Glamorganshire,Southern Cuckoo Bumblebee,Glamorganshire Southern Cuckoo Bumblebee,8,1
Gwent,Southern Cuckoo Bumblebee,Gwent Southern Cuckoo Bumblebee,0,0
Herefordshire,Southern Cuckoo Bumblebee,Herefordshire Southern Cuckoo Bumblebee,45,1
Hertfordshire,Southern Cuckoo Bumblebee,Hertfordshire Southern Cuckoo Bumblebee,9,1
Huntingdonshire,Southern Cuckoo Bumblebee,Huntingdonshire Southern Cuckoo Bumblebee,0,0
Isle of Man,Southern Cuckoo Bumblebee,Isle of Man Southern Cuckoo Bumblebee,0,0
Isle of Wight,Southern Cuckoo Bumblebee,Isle of Wight Southern Cuckoo Bumblebee,3,1
Kincardineshire,Southern Cuckoo Bumblebee,Kincardineshire Southern Cuckoo Bumblebee,0,0
Kirkudbrightshire,Southern Cuckoo Bumblebee,Kirkudbrightshire Southern Cuckoo Bumblebee,0,0
Lanarkshire,Southern Cuckoo Bumblebee,Lanarkshire Southern Cuckoo Bumblebee,0,0
Lancashire,Southern Cuckoo Bumblebee,Lancashire Southern Cuckoo Bumblebee,94,1
Leicestershire,Southern Cuckoo Bumblebee,Leicestershire Southern Cuckoo Bumblebee,18,1
Lincolnshire,Southern Cuckoo Bumblebee,Lincolnshire Southern Cuckoo Bumblebee,0,0
Linlithgow,Southern Cuckoo Bumblebee,Linlithgow Southern Cuckoo Bumblebee,0,0
Mid Perthshire,Southern Cuckoo Bumblebee,Mid Perthshire Southern Cuckoo Bumblebee,0,0
Mid-west Yorkshire,Southern Cuckoo Bumblebee,Mid-west Yorkshire Southern Cuckoo Bumblebee,12,1
Middlesex,Southern Cuckoo Bumblebee,Middlesex Southern Cuckoo Bumblebee,0,0
Midlothian,Southern Cuckoo Bumblebee,Midlothian Southern Cuckoo Bumblebee,0,0
Monmouthshire,Southern Cuckoo Bumblebee,Monmouthshire Southern Cuckoo Bumblebee,1,1
Moray,Southern Cuckoo Bumblebee,Moray Southern Cuckoo Bumblebee,0,0
North Aberdeenshire,Southern Cuckoo Bumblebee,North Aberdeenshire Southern Cuckoo Bumblebee,0,0
North Ayrshire,Southern Cuckoo Bumblebee,North Ayrshire Southern Cuckoo Bumblebee,0,0
North Devon,Southern Cuckoo Bumblebee,North Devon Southern Cuckoo Bumblebee,0,0
North Essex,Southern Cuckoo Bumblebee,North Essex Southern Cuckoo Bumblebee,28,1
North Hampshire,Southern Cuckoo Bumblebee,North Hampshire Southern Cuckoo Bumblebee,1,1
North Lanarkshire,Southern Cuckoo Bumblebee,North Lanarkshire Southern Cuckoo Bumblebee,0,0
North Lincolnshire,Southern Cuckoo Bumblebee,North Lincolnshire Southern Cuckoo Bumblebee,0,0
North Northumberland,Southern Cuckoo Bumblebee,North Northumberland Southern Cuckoo Bumblebee,0,0
North Somerset,Southern Cuckoo Bumblebee,North Somerset Southern Cuckoo Bumblebee,513,1
North Wiltshire,Southern Cuckoo Bumblebee,North Wiltshire Southern Cuckoo Bumblebee,24,1
North-east Yorkshire,Southern Cuckoo Bumblebee,North-east Yorkshire Southern Cuckoo Bumblebee,4,1
North-west Yorkshire,Southern Cuckoo Bumblebee,North-west Yorkshire Southern Cuckoo Bumblebee,0,0
Northamptonshire,Southern Cuckoo Bumblebee,Northamptonshire Southern Cuckoo Bumblebee,35,1
Northumberland,Southern Cuckoo Bumblebee,Northumberland Southern Cuckoo Bumblebee,0,0
Nottinghamshire,Southern Cuckoo Bumblebee,Nottinghamshire Southern Cuckoo Bumblebee,3,1
Orkney,Southern Cuckoo Bumblebee,Orkney Southern Cuckoo Bumblebee,0,0
Oxfordshire,Southern Cuckoo Bumblebee,Oxfordshire Southern Cuckoo Bumblebee,15,1
Pembrokeshire,Southern Cuckoo Bumblebee,Pembrokeshire Southern Cuckoo Bumblebee,23,1
Perthshire,Southern Cuckoo Bumblebee,Perthshire Southern Cuckoo Bumblebee,0,0
Radnorshire,Southern Cuckoo Bumblebee,Radnorshire Southern Cuckoo Bumblebee,1,1
Renfrewshire,Southern Cuckoo Bumblebee,Renfrewshire Southern Cuckoo Bumblebee,0,0
Roxburghshire,Southern Cuckoo Bumblebee,Roxburghshire Southern Cuckoo Bumblebee,0,0
Shropshire,Southern Cuckoo Bumblebee,Shropshire Southern Cuckoo Bumblebee,2,1
South Aberdeenshire,Southern Cuckoo Bumblebee,South Aberdeenshire Southern Cuckoo Bumblebee,0,0
South Devon,Southern Cuckoo Bumblebee,South Devon Southern Cuckoo Bumblebee,1,1
South East Yorkshire,Southern Cuckoo Bumblebee,South East Yorkshire Southern Cuckoo Bumblebee,0,0
South Ebudes,Southern Cuckoo Bumblebee,South Ebudes Southern Cuckoo Bumblebee,0,0
South Essex,Southern Cuckoo Bumblebee,South Essex Southern Cuckoo Bumblebee,12,1
South Hampshire,Southern Cuckoo Bumblebee,South Hampshire Southern Cuckoo Bumblebee,59,1
South Lanarkshire,Southern Cuckoo Bumblebee,South Lanarkshire Southern Cuckoo Bumblebee,0,0
South Lancashire,Southern Cuckoo Bumblebee,South Lancashire Southern Cuckoo Bumblebee,28,1
South Lincolnshire,Southern Cuckoo Bumblebee,South Lincolnshire Southern Cuckoo Bumblebee,0,0
South Northumberland,Southern Cuckoo Bumblebee,South Northumberland Southern Cuckoo Bumblebee,32,1
South Somerset,Southern Cuckoo Bumblebee,South Somerset Southern Cuckoo Bumblebee,1,1
South Wiltshire,Southern Cuckoo Bumblebee,South Wiltshire Southern Cuckoo Bumblebee,142,1
South-east Yorkshire,Southern Cuckoo Bumblebee,South-east Yorkshire Southern Cuckoo Bumblebee,28,1
South-west Yorkshire,Southern Cuckoo Bumblebee,South-west Yorkshire Southern Cuckoo Bumblebee,1,1
Staffordshire,Southern Cuckoo Bumblebee,Staffordshire Southern Cuckoo Bumblebee,12,1
Stirlingshire,Southern Cuckoo Bumblebee,Stirlingshire Southern Cuckoo Bumblebee,0,0
Surrey,Southern Cuckoo Bumblebee,Surrey Southern Cuckoo Bumblebee,18,1
Sussex,Southern Cuckoo Bumblebee,Sussex Southern Cuckoo Bumblebee,0,0
Warwickshire,Southern Cuckoo Bumblebee,Warwickshire Southern Cuckoo Bumblebee,11,1
West Cornwall with Scilly,Southern Cuckoo Bumblebee,West Cornwall with Scilly Southern Cuckoo Bumblebee,1,1
West Gloucestershire,Southern Cuckoo Bumblebee,West Gloucestershire Southern Cuckoo Bumblebee,57,1
West Inverness-shire,Southern Cuckoo Bumblebee,West Inverness-shire Southern Cuckoo Bumblebee,0,0
West Kent,Southern Cuckoo Bumblebee,West Kent Southern Cuckoo Bumblebee,42,1
West Lancashire,Southern Cuckoo Bumblebee,West Lancashire Southern Cuckoo Bumblebee,1,1
West Norfolk,Southern Cuckoo Bumblebee,West Norfolk Southern Cuckoo Bumblebee,51,1
West Perthshire,Southern Cuckoo Bumblebee,West Perthshire Southern Cuckoo Bumblebee,0,0
West Suffolk,Southern Cuckoo Bumblebee,West Suffolk Southern Cuckoo Bumblebee,9,1
West Sussex,Southern Cuckoo Bumblebee,West Sussex Southern Cuckoo Bumblebee,4,1
Westmorland,Southern Cuckoo Bumblebee,Westmorland Southern Cuckoo Bumblebee,0,0
Worcestershire,Southern Cuckoo Bumblebee,Worcestershire Southern Cuckoo Bumblebee,1,1
Yorkshire,Southern Cuckoo Bumblebee,Yorkshire Southern Cuckoo Bumblebee,82,1
Aberdeenshire,Red-shanked Carder,Aberdeenshire Red-shanked Carder,0,0
Alderney,Red-shanked Carder,Alderney Red-shanked Carder,0,0
Angus,Red-shanked Carder,Angus Red-shanked Carder,0,0
Argyll & Bute,Red-shanked Carder,Argyll & Bute Red-shanked Carder,0,0
Argyllshire,Red-shanked Carder,Argyllshire Red-shanked Carder,0,0
Ayrshire,Red-shanked Carder,Ayrshire Red-shanked Carder,0,0
Bedfordshire,Red-shanked Carder,Bedfordshire Red-shanked Carder,0,0
Berkshire,Red-shanked Carder,Berkshire Red-shanked Carder,1,1
Berwickshire,Red-shanked Carder,Berwickshire Red-shanked Carder,0,0
Buckinghamshire,Red-shanked Carder,Buckinghamshire Red-shanked Carder,0,0
Caernarvonshire,Red-shanked Carder,Caernarvonshire Red-shanked Carder,0,0
Caithness,Red-shanked Carder,Caithness Red-shanked Carder,0,0
Camarthenshire,Red-shanked Carder,Camarthenshire Red-shanked Carder,0,0
Cambridgeshire,Red-shanked Carder,Cambridgeshire Red-shanked Carder,27,1
Cardiganshire,Red-shanked Carder,Cardiganshire Red-shanked Carder,0,0
Carmarthenshire,Red-shanked Carder,Carmarthenshire Red-shanked Carder,0,0
Ceredigion,Red-shanked Carder,Ceredigion Red-shanked Carder,0,0
Cheshire,Red-shanked Carder,Cheshire Red-shanked Carder,0,0
Clyde Isles,Red-shanked Carder,Clyde Isles Red-shanked Carder,0,0
Conwy,Red-shanked Carder,Conwy Red-shanked Carder,0,0
County Durham,Red-shanked Carder,County Durham Red-shanked Carder,0,0
Cumberland,Red-shanked Carder,Cumberland Red-shanked Carder,0,0
Denbighshire,Red-shanked Carder,Denbighshire Red-shanked Carder,0,0
Derbyshire,Red-shanked Carder,Derbyshire Red-shanked Carder,1,1
Dorset,Red-shanked Carder,Dorset Red-shanked Carder,0,0
Dumfriesshire,Red-shanked Carder,Dumfriesshire  Red-shanked Carder,0,0
Dunbartonshire,Red-shanked Carder,Dunbartonshire Red-shanked Carder,0,0
East Cornwall,Red-shanked Carder,East Cornwall Red-shanked Carder,0,0
East Gloucestershire,Red-shanked Carder,East Gloucestershire Red-shanked Carder,0,0
East Inverness-shire,Red-shanked Carder,East Inverness-shire Red-shanked Carder,0,0
East Kent,Red-shanked Carder,East Kent Red-shanked Carder,26,1
East Lothian,Red-shanked Carder,East Lothian Red-shanked Carder,0,0
East Norfolk,Red-shanked Carder,East Norfolk Red-shanked Carder,0,0
East Perthshire,Red-shanked Carder,East Perthshire Red-shanked Carder,0,0
East Suffolk,Red-shanked Carder,East Suffolk Red-shanked Carder,0,0
East Sussex,Red-shanked Carder,East Sussex Red-shanked Carder,7,1
East Sutherland,Red-shanked Carder,East Sutherland Red-shanked Carder,0,0
Fifeshire,Red-shanked Carder,Fifeshire Red-shanked Carder,0,0
Flintshire,Red-shanked Carder,Flintshire Red-shanked Carder,0,0
Glamorganshire,Red-shanked Carder,Glamorganshire Red-shanked Carder,0,0
Gwent,Red-shanked Carder,Gwent Red-shanked Carder,0,0
Herefordshire,Red-shanked Carder,Herefordshire Red-shanked Carder,35,1
Hertfordshire,Red-shanked Carder,Hertfordshire Red-shanked Carder,1,1
Huntingdonshire,Red-shanked Carder,Huntingdonshire Red-shanked Carder,0,0
Isle of Man,Red-shanked Carder,Isle of Man Red-shanked Carder,0,0
Isle of Wight,Red-shanked Carder,Isle of Wight Red-shanked Carder,0,0
Kincardineshire,Red-shanked Carder,Kincardineshire Red-shanked Carder,0,0
